grafo,versao_algoritmo,rodada,tempo_execucao,qtde_nos_ant,qtde_nos_dps,grau_max_ant,grau_max_dps,r_ant,r_dps
pl_grg_00500_4.al,1,4,1.0001659393310547,486,297,21,18,27632,27632
pl_grg_01000_0.al,1,0,2.0003318786621094,982,628,23,21,27632,27632
pl_grg_01000_0.al,1,1,1.0001659393310547,982,628,23,21,27632,27632
pl_grg_01000_0.al,1,2,2.0003318786621094,982,628,23,21,27632,27632
pl_grg_01000_0.al,1,3,1.0001659393310547,982,628,23,21,27632,27632
pl_grg_01000_0.al,1,4,1.0001659393310547,982,628,23,21,27632,27632
pl_grg_01000_1.al,1,0,1.0001659393310547,982,599,23,22,27632,27632
pl_grg_01000_1.al,1,1,2.0003318786621094,982,599,23,22,27632,27632
pl_grg_01000_1.al,1,2,1.0001659393310547,982,599,23,22,27632,27632
pl_grg_01000_1.al,1,3,1.0001659393310547,982,599,23,22,27632,27632
pl_grg_01000_1.al,1,4,2.0003318786621094,982,599,23,22,27632,27632
pl_grg_01000_2.al,1,0,1.0001659393310547,982,634,25,24,27632,27632
pl_grg_01000_2.al,1,1,0.0,982,634,25,24,27632,27632
pl_grg_01000_2.al,1,2,1.0004043579101562,982,634,25,24,27632,27632
pl_grg_01000_2.al,1,3,1.0004043579101562,982,634,25,24,27632,27632
pl_grg_01000_2.al,1,4,1.0004043579101562,982,634,25,24,27632,27632
pl_grg_01000_3.al,1,0,1.0004043579101562,982,592,26,25,27632,27632
pl_grg_01000_3.al,1,1,1.0004043579101562,982,592,26,25,27632,27632
pl_grg_01000_3.al,1,2,2.000093460083008,982,592,26,25,27632,27632
pl_grg_01000_3.al,1,3,2.0003318786621094,982,592,26,25,27632,27632
pl_grg_01000_3.al,1,4,1.0001659393310547,982,592,26,25,27632,27632
pl_grg_01000_4.al,1,0,1.0001659393310547,982,613,30,25,27632,27632
pl_grg_01000_4.al,1,1,2.0003318786621094,982,613,30,25,27632,27632
pl_grg_01000_4.al,1,2,1.0006427764892578,982,613,30,25,27632,27632
pl_grg_01000_4.al,1,3,2.000093460083008,982,613,30,25,27632,27632
pl_grg_01000_4.al,1,4,1.0004043579101562,982,613,30,25,27632,27632
pl_grg_02000_0.al,1,0,3.0007362365722656,1975,1285,32,29,27632,27632
pl_grg_02000_0.al,1,1,2.000570297241211,1975,1285,32,29,27632,27632
pl_grg_02000_0.al,1,2,2.0003318786621094,1975,1285,32,29,27632,27632
pl_grg_02000_0.al,1,3,2.000570297241211,1975,1285,32,29,27632,27632
pl_grg_02000_0.al,1,4,2.000570297241211,1975,1285,32,29,27632,27632
pl_grg_02000_1.al,1,0,3.000497817993164,1975,1279,31,30,27632,27632
pl_grg_02000_1.al,1,1,2.0003318786621094,1975,1279,31,30,27632,27632
pl_grg_02000_1.al,1,2,2.0003318786621094,1975,1279,31,30,27632,27632
pl_grg_02000_1.al,1,3,3.000974655151367,1975,1279,31,30,27632,27632
pl_grg_02000_1.al,1,4,2.0003318786621094,1975,1279,31,30,27632,27632
pl_grg_02000_2.al,1,0,2.000570297241211,1975,1296,32,29,27632,27632
pl_grg_02000_2.al,1,1,3.000497817993164,1975,1296,32,29,27632,27632
pl_grg_02000_2.al,1,2,2.0003318786621094,1975,1296,32,29,27632,27632
pl_grg_02000_2.al,1,3,2.000093460083008,1975,1296,32,29,27632,27632
pl_grg_02000_2.al,1,4,1.9998550415039062,1975,1296,32,29,27632,27632
pl_grg_02000_3.al,1,0,3.000497817993164,1975,1275,32,30,27632,27632
pl_grg_02000_3.al,1,1,2.000570297241211,1975,1275,32,30,27632,27632
pl_grg_02000_3.al,1,2,2.000570297241211,1975,1275,32,30,27632,27632
pl_grg_02000_3.al,1,3,3.0007362365722656,1975,1275,32,30,27632,27632
pl_grg_02000_3.al,1,4,3.0007362365722656,1975,1275,32,30,27632,27632
pl_grg_02000_4.al,1,0,2.0003318786621094,1975,1242,33,29,32237,27632
pl_grg_02000_4.al,1,1,3.000974655151367,1975,1242,33,29,32237,27632
pl_grg_02000_4.al,1,2,2.000093460083008,1975,1242,33,29,32237,27632
pl_grg_02000_4.al,1,3,2.000093460083008,1975,1242,33,29,32237,27632
pl_grg_02000_4.al,1,4,3.000497817993164,1975,1242,33,29,32237,27632
pl_grg_04000_0.al,1,0,5.001306533813477,3968,2531,45,40,32237,32237
pl_grg_04000_0.al,1,1,5.001306533813477,3968,2531,45,40,32237,32237
pl_grg_04000_0.al,1,2,5.000829696655273,3968,2531,45,40,32237,32237
pl_grg_04000_0.al,1,3,6.001472473144531,3968,2531,45,40,32237,32237
pl_grg_04000_0.al,1,4,5.001068115234375,3968,2531,45,40,32237,32237
pl_grg_04000_1.al,1,0,5.001068115234375,3968,2594,39,37,32237,32237
pl_grg_04000_1.al,1,1,5.000591278076172,3968,2594,39,37,32237,32237
pl_grg_04000_1.al,1,2,5.001306533813477,3968,2594,39,37,32237,32237
pl_grg_04000_1.al,1,3,5.001306533813477,3968,2594,39,37,32237,32237
pl_grg_04000_1.al,1,4,5.001068115234375,3968,2594,39,37,32237,32237
pl_grg_04000_2.al,1,0,4.00090217590332,3968,2492,40,38,32237,32237
pl_grg_04000_2.al,1,1,4.00090217590332,3968,2492,40,38,32237,32237
pl_grg_04000_2.al,1,2,5.001068115234375,3968,2492,40,38,32237,32237
pl_grg_04000_2.al,1,3,5.001068115234375,3968,2492,40,38,32237,32237
pl_grg_04000_2.al,1,4,5.001068115234375,3968,2492,40,38,32237,32237
pl_grg_04000_3.al,1,0,5.001306533813477,3968,2604,43,39,32237,32237
pl_grg_04000_3.al,1,1,5.001068115234375,3968,2604,43,39,32237,32237
pl_grg_04000_3.al,1,2,5.001544952392578,3968,2604,43,39,32237,32237
pl_grg_04000_3.al,1,3,5.000829696655273,3968,2604,43,39,32237,32237
pl_grg_04000_3.al,1,4,5.001306533813477,3968,2604,43,39,32237,32237
pl_grg_04000_4.al,1,0,4.00090217590332,3968,2574,44,38,32237,32237
pl_grg_04000_4.al,1,1,4.001140594482422,3968,2574,44,38,32237,32237
pl_grg_04000_4.al,1,2,4.00090217590332,3968,2574,44,38,32237,32237
pl_grg_04000_4.al,1,3,5.000829696655273,3968,2574,44,38,32237,32237
pl_grg_04000_4.al,1,4,5.001306533813477,3968,2574,44,38,32237,32237
pl_grg_08000_0.al,1,0,9.001970291137695,7955,5084,50,50,32237,32237
pl_grg_08000_0.al,1,1,9.002208709716797,7955,5084,50,50,32237,32237
pl_grg_08000_0.al,1,2,9.001970291137695,7955,5084,50,50,32237,32237
pl_grg_08000_0.al,1,3,10.002613067626953,7955,5084,50,50,32237,32237
pl_grg_08000_0.al,1,4,9.002208709716797,7955,5084,50,50,32237,32237
pl_grg_08000_1.al,1,0,12.002229690551758,7955,5095,53,47,32237,32237
pl_grg_08000_1.al,1,1,11.002302169799805,7955,5095,53,47,32237,32237
pl_grg_08000_1.al,1,2,11.002302169799805,7955,5095,53,47,32237,32237
pl_grg_08000_1.al,1,3,10.002374649047852,7955,5095,53,47,32237,32237
pl_grg_08000_1.al,1,4,11.002302169799805,7955,5095,53,47,32237,32237
pl_grg_08000_2.al,1,0,11.002540588378906,7955,5195,63,57,32237,32237
pl_grg_08000_2.al,1,1,12.003183364868164,7955,5195,63,57,32237,32237
pl_grg_08000_2.al,1,2,12.002706527709961,7955,5195,63,57,32237,32237
pl_grg_08000_2.al,1,3,11.002302169799805,7955,5195,63,57,32237,32237
pl_grg_08000_2.al,1,4,10.002374649047852,7955,5195,63,57,32237,32237
pl_grg_08000_3.al,1,0,10.002374649047852,7955,5147,71,65,36842,36842
pl_grg_08000_3.al,1,1,11.002779006958008,7955,5147,71,65,36842,36842
pl_grg_08000_3.al,1,2,10.002374649047852,7955,5147,71,65,36842,36842
pl_grg_08000_3.al,1,3,11.002779006958008,7955,5147,71,65,36842,36842
pl_grg_08000_3.al,1,4,11.002302169799805,7955,5147,71,65,36842,36842
pl_grg_08000_4.al,1,0,10.002374649047852,7955,5137,57,51,32237,32237
pl_grg_08000_4.al,1,1,10.001897811889648,7955,5137,57,51,32237,32237
pl_grg_08000_4.al,1,2,11.002779006958008,7955,5137,57,51,32237,32237
pl_grg_08000_4.al,1,3,11.002063751220703,7955,5137,57,51,32237,32237
pl_grg_08000_4.al,1,4,11.002063751220703,7955,5137,57,51,32237,32237
pl_grg_16000_0.al,1,0,30.006885528564453,15943,10425,80,74,36842,36842
pl_grg_16000_0.al,1,1,21.004676818847656,15943,10425,80,74,36842,36842
pl_grg_16000_0.al,1,2,23.005247116088867,15943,10425,80,74,36842,36842
pl_grg_16000_0.al,1,3,21.004676818847656,15943,10425,80,74,36842,36842
pl_grg_16000_0.al,1,4,21.004199981689453,15943,10425,80,74,36842,36842
pl_grg_16000_1.al,1,0,26.00574493408203,15943,10321,70,65,36842,36842
pl_grg_16000_1.al,1,1,23.005008697509766,15943,10321,70,65,36842,36842
pl_grg_16000_1.al,1,2,29.0071964263916,15943,10321,70,65,36842,36842
pl_grg_16000_1.al,1,3,26.160717010498047,15943,10321,70,65,36842,36842
pl_grg_16000_1.al,1,4,24.00493621826172,15943,10321,70,65,36842,36842
